game_id,agent1_points,agent2_points,first_player,point_differential
293,41,79,1,-38
294,52,68,1,-16
295,28,92,0,-64
296,40,80,0,-40
297,55,65,0,-10
298,48,72,0,-24
299,56,64,0,-8
300,66,54,1,12
301,31,89,1,-58
302,84,36,0,48
303,41,79,1,-38
304,29,91,0,-62
305,34,86,1,-52
306,36,84,1,-48
307,33,87,0,-54
308,30,90,0,-60
309,53,67,0,-14
310,25,95,0,-70
311,35,85,0,-50
312,11,109,1,-98
313,20,100,1,-80
314,50,70,1,-20
315,46,74,0,-28
316,35,85,1,-50
317,50,70,0,-20
318,50,70,0,-20
319,56,64,0,-8
320,30,90,1,-60
321,38,82,1,-44
322,33,87,1,-54
323,47,73,1,-26
324,58,62,0,-4
325,61,59,0,2
326,27,93,1,-66
327,25,95,0,-70
328,7,113,0,-106
329,37,83,1,-46
330,29,91,0,-62
331,38,82,0,-44
332,72,48,1,24
333,19,101,1,-82
334,24,96,0,-72
335,52,68,0,-16
336,59,61,0,-2
337,14,106,1,-92
338,57,63,0,-6
339,17,103,1,-86
340,50,70,0,-20
341,67,53,0,14
342,37,83,1,-46
343,44,76,0,-32
344,52,68,1,-16
345,40,80,0,-40
346,20,100,0,-80
347,44,76,0,-32
348,54,66,1,-12
349,22,98,1,-76
350,52,68,0,-16
351,21,99,0,-78
352,49,71,1,-22
353,46,74,1,-28
354,29,91,1,-62
355,32,88,1,-56
356,46,74,0,-28
357,29,91,1,-62
358,74,46,0,28
359,41,79,0,-38
360,55,65,1,-10
361,51,69,0,-18
362,35,85,1,-50
363,47,73,1,-26
364,44,76,0,-32
365,54,66,1,-12
366,61,59,1,2
367,56,64,0,-8
368,25,95,0,-70
369,34,86,1,-52
370,64,56,0,8
371,97,23,0,74
372,17,103,1,-86
373,33,87,0,-54
374,26,94,0,-68
375,25,95,1,-70
376,23,97,0,-74
377,47,73,1,-26
378,31,89,0,-58
379,9,111,0,-102
380,38,82,1,-44
381,9,111,1,-102
382,40,80,1,-40
383,16,104,1,-88
384,65,55,0,10
385,62,58,0,4
386,70,50,1,20
387,10,110,1,-100
388,2,118,1,-116
389,30,90,0,-60
390,75,45,1,30
391,30,90,0,-60
392,56,64,0,-8
393,26,94,1,-68
394,41,79,0,-38
395,41,79,1,-38
396,59,61,1,-2
397,23,97,1,-74
398,24,96,0,-72
399,22,98,0,-76
400,55,65,1,-10
401,32,88,1,-56
402,85,35,0,50
403,22,98,0,-76
404,40,80,1,-40
405,61,59,0,2
406,63,57,1,6
407,40,80,0,-40
408,91,29,0,62
409,54,66,0,-12
