game_id,agent1_points,agent2_points,first_player,point_differential
0,61,59,1,2
1,65,55,0,10
2,81,39,0,42
3,66,54,0,12
4,86,34,0,52
5,78,42,1,36
6,102,18,1,84
7,74,46,1,28
8,70,50,0,20
9,80,40,0,40
10,78,42,1,36
11,59,61,0,-2
12,46,74,1,-28
13,57,63,1,-6
14,74,46,1,28
15,83,37,0,46
16,67,53,0,14
17,41,79,0,-38
18,104,16,0,88
19,71,49,1,22
20,93,27,0,66
21,103,17,1,86
22,86,34,0,52
23,87,33,1,54
24,73,47,1,26
25,87,33,1,54
26,84,36,1,48
27,113,7,1,106
28,95,25,0,70
29,91,29,0,62
30,86,34,0,52
31,59,61,0,-2
32,41,79,1,-38
33,93,27,0,66
34,93,27,1,66
35,44,76,0,-32
36,40,80,1,-40
37,102,18,0,84
38,58,62,0,-4
39,72,48,1,24
40,87,33,0,54
41,64,56,1,8
42,28,92,1,-64
43,58,62,0,-4
44,81,39,1,42
45,102,18,0,84
46,62,58,0,4
47,107,13,1,94
48,94,26,1,68
49,74,46,0,28
50,92,28,0,64
51,48,72,1,-24
52,79,41,1,38
53,79,41,1,38
54,77,43,0,34
55,82,38,1,44
56,72,48,1,24
57,77,43,0,34
58,83,37,0,46
59,47,73,1,-26
60,82,38,1,44
61,68,52,0,16
62,34,86,1,-52
63,94,26,1,68
64,50,70,1,-20
65,54,66,0,-12
66,81,39,1,42
67,68,52,1,16
68,88,32,0,56
69,60,60,1,0
70,76,44,0,32
71,86,34,1,52
72,39,81,1,-42
73,88,32,0,56
74,82,38,0,44
75,88,32,1,56
76,95,25,0,70
77,100,20,1,80
78,73,47,0,26
79,63,57,1,6
80,116,4,1,112
81,52,68,0,-16
82,47,73,1,-26
83,83,37,0,46
84,87,33,1,54
85,93,27,0,66
86,81,39,1,42
87,66,54,0,12
88,73,47,0,26
89,100,20,1,80
90,72,48,0,24
91,62,58,1,4
92,95,25,0,70
93,91,29,1,62
94,63,57,1,6
95,33,87,0,-54
96,96,24,1,72
97,114,6,0,108
98,71,49,0,22
99,74,46,1,28
100,45,75,0,-30
101,46,74,0,-28
102,77,43,1,34
103,71,49,0,22
104,105,15,1,90
105,89,31,1,58
106,85,35,0,50
107,84,36,0,48
108,78,42,0,36
109,76,44,0,32
110,74,46,1,28
111,79,41,0,38
112,39,81,0,-42
113,107,13,0,94
114,92,28,1,64
115,91,29,0,62
116,46,74,1,-28
117,85,35,0,50
118,50,70,1,-20
119,79,41,1,38
120,89,31,0,58
121,93,27,1,66
122,57,63,1,-6
123,74,46,0,28
124,81,39,0,42
125,66,54,1,12
126,57,63,1,-6
127,83,37,0,46
128,61,59,0,2
129,56,64,1,-8
130,61,59,1,2
131,53,67,0,-14
132,76,44,0,32
133,98,22,1,76
134,95,25,0,70
135,103,17,0,86
136,48,72,1,-24
137,49,71,0,-22
138,87,33,0,54
139,49,71,1,-22
140,86,34,0,52
141,57,63,0,-6
142,70,50,1,20
143,88,32,1,56
144,95,25,0,70
145,23,97,1,-74
146,68,52,1,16
147,56,64,1,-8
148,65,55,1,10
149,69,51,0,18
150,77,43,0,34
151,88,32,0,56
152,59,61,1,-2
153,82,38,0,44
154,83,37,0,46
155,80,40,0,40
156,91,29,1,62
157,107,13,1,94
158,64,56,0,8
159,76,44,0,32
160,41,79,0,-38
161,86,34,0,52
162,51,69,1,-18
163,59,61,0,-2
164,70,50,0,20
165,59,61,0,-2
166,60,60,0,0
167,76,44,1,32
168,62,58,0,4
169,116,4,0,112
170,32,88,0,-56
171,73,47,0,26
172,78,42,1,36
173,85,35,0,50
174,73,47,0,26
175,73,47,0,26
176,76,44,0,32
177,95,25,0,70
178,73,47,1,26
179,86,34,1,52
180,63,57,0,6
181,52,68,0,-16
182,106,14,1,92
183,30,90,1,-60
184,84,36,0,48
185,96,24,1,72
186,67,53,1,14
187,74,46,1,28
188,84,36,0,48
189,83,37,0,46
190,31,89,0,-58
191,69,51,1,18
192,69,51,1,18
193,94,26,0,68
194,89,31,0,58
195,69,51,1,18
196,72,48,1,24
197,60,60,0,0
198,47,73,1,-26
199,54,66,1,-12
200,114,6,0,108
201,101,19,0,82
202,73,47,0,26
203,80,40,1,40
204,103,17,1,86
205,63,57,1,6
206,80,40,0,40
207,70,50,0,20
208,89,31,1,58
209,57,63,0,-6
210,83,37,0,46
211,67,53,1,14
212,74,46,1,28
213,50,70,0,-20
214,60,60,1,0
215,81,39,0,42
216,59,61,0,-2
217,97,23,0,74
218,98,22,0,76
219,40,80,1,-40
220,99,21,1,78
221,89,31,0,58
222,69,51,0,18
223,91,29,0,62
224,81,39,0,42
225,78,42,1,36
226,103,17,1,86
227,94,26,0,68
228,90,30,0,60
229,90,30,0,60
230,61,59,1,2
231,66,54,1,12
232,80,40,1,40
233,72,48,1,24
234,78,42,1,36
235,100,20,1,80
236,90,30,1,60
237,76,44,1,32
238,64,56,0,8
239,90,30,1,60
240,57,63,1,-6
241,56,64,1,-8
242,86,34,0,52
243,71,49,0,22
244,65,55,1,10
245,114,6,0,108
246,67,53,1,14
247,77,43,0,34
248,30,90,1,-60
249,88,32,1,56
250,77,43,0,34
251,82,38,0,44
252,83,37,0,46
253,74,46,1,28
254,68,52,1,16
255,59,61,1,-2
256,70,50,1,20
257,37,83,1,-46
258,69,51,0,18
259,34,86,1,-52
260,71,49,0,22
261,73,47,1,26
262,69,51,0,18
263,49,71,0,-22
264,88,32,1,56
265,66,54,1,12
266,98,22,1,76
267,63,57,0,6
268,63,57,0,6
269,95,25,0,70
270,75,45,0,30
271,65,55,0,10
272,56,64,1,-8
273,65,55,0,10
274,58,62,1,-4
275,93,27,0,66
276,71,49,1,22
277,76,44,0,32
278,64,56,1,8
279,74,46,1,28
280,35,85,1,-50
281,90,30,1,60
282,90,30,0,60
283,38,82,0,-44
284,37,83,1,-46
285,97,23,1,74
286,115,5,1,110
287,74,46,0,28
288,95,25,1,70
289,68,52,1,16
290,49,71,1,-22
291,94,26,1,68
292,71,49,1,22
293,89,31,1,58
294,94,26,1,68
295,41,79,0,-38
296,73,47,0,26
297,80,40,0,40
298,63,57,0,6
299,118,2,0,116
300,96,24,1,72
301,51,69,1,-18
302,45,75,0,-30
303,87,33,1,54
304,82,38,0,44
305,57,63,1,-6
306,74,46,1,28
307,57,63,0,-6
308,75,45,0,30
309,84,36,0,48
310,80,40,0,40
311,75,45,0,30
312,57,63,1,-6
313,115,5,1,110
314,69,51,1,18
315,79,41,0,38
316,72,48,1,24
317,75,45,0,30
318,60,60,0,0
319,61,59,0,2
320,82,38,1,44
321,49,71,1,-22
322,81,39,1,42
323,54,66,1,-12
324,73,47,0,26
325,76,44,0,32
326,82,38,1,44
327,78,42,0,36
328,64,56,0,8
329,73,47,1,26
330,101,19,0,82
331,61,59,0,2
332,89,31,1,58
333,91,29,1,62
334,92,28,0,64
335,62,58,0,4
336,43,77,0,-34
337,96,24,1,72
338,57,63,0,-6
339,29,91,1,-62
340,96,24,0,72
341,111,9,0,102
342,57,63,1,-6
343,86,34,0,52
344,68,52,1,16
345,79,41,0,38
346,91,29,0,62
347,55,65,0,-10
348,94,26,1,68
349,79,41,1,38
350,78,42,0,36
351,79,41,0,38
352,86,34,1,52
353,73,47,1,26
354,75,45,1,30
355,104,16,1,88
356,60,60,0,0
357,80,40,1,40
358,65,55,0,10
359,67,53,0,14
360,66,54,1,12
361,100,20,0,80
362,59,61,1,-2
363,63,57,1,6
364,70,50,0,20
365,61,59,1,2
366,88,32,1,56
367,46,74,0,-28
368,92,28,0,64
369,111,9,1,102
370,59,61,0,-2
371,108,12,0,96
372,70,50,1,20
373,52,68,0,-16
374,97,23,0,74
375,96,24,1,72
376,74,46,0,28
377,64,56,1,8
378,58,62,0,-4
379,63,57,0,6
380,92,28,1,64
381,69,51,1,18
382,53,67,1,-14
383,93,27,1,66
384,85,35,0,50
385,88,32,0,56
386,109,11,1,98
387,82,38,1,44
388,82,38,1,44
389,77,43,0,34
390,60,60,1,0
391,80,40,0,40
392,85,35,0,50
393,85,35,1,50
394,95,25,0,70
395,93,27,1,66
396,69,51,1,18
397,69,51,1,18
398,75,45,0,30
399,88,32,0,56
400,98,22,1,76
401,74,46,1,28
402,79,41,0,38
403,86,34,0,52
404,86,34,1,52
405,89,31,0,58
406,96,24,1,72
407,92,28,0,64
408,85,35,0,50
409,51,69,0,-18
410,93,27,1,66
411,62,58,0,4
412,89,31,0,58
413,103,17,1,86
414,79,41,0,38
415,74,46,0,28
416,88,32,1,56
417,103,17,0,86
418,83,37,1,46
419,105,15,0,90
420,77,43,0,34
421,46,74,1,-28
422,79,41,0,38
423,84,36,1,48
424,63,57,0,6
425,81,39,0,42
426,69,51,0,18
427,37,83,0,-46
428,69,51,0,18
429,87,33,1,54
430,23,97,1,-74
431,61,59,1,2
432,90,30,0,60
433,99,21,0,78
434,90,30,0,60
435,68,52,1,16
436,63,57,0,6
437,73,47,1,26
438,49,71,1,-22
439,92,28,0,64
440,41,79,1,-38
441,86,34,0,52
442,87,33,0,54
443,96,24,0,72
444,56,64,1,-8
445,89,31,0,58
446,61,59,1,2
447,88,32,1,56
448,73,47,0,26
449,71,49,0,22
450,78,42,0,36
451,94,26,0,68
452,88,32,0,56
453,77,43,1,34
454,68,52,1,16
455,78,42,0,36
456,76,44,1,32
457,76,44,0,32
458,99,21,0,78
459,67,53,1,14
460,70,50,1,20
461,98,22,1,76
462,73,47,0,26
463,59,61,1,-2
464,60,60,0,0
465,71,49,1,22
466,73,47,1,26
467,82,38,1,44
468,33,87,1,-54
469,93,27,1,66
470,66,54,0,12
471,59,61,1,-2
472,108,12,0,96
473,62,58,0,4
474,66,54,0,12
475,67,53,1,14
476,82,38,1,44
477,53,67,1,-14
478,67,53,1,14
479,70,50,0,20
480,66,54,0,12
481,55,65,0,-10
482,74,46,1,28
483,83,37,0,46
484,43,77,1,-34
485,45,75,0,-30
486,85,35,0,50
487,81,39,0,42
488,82,38,0,44
489,71,49,1,22
490,98,22,1,76
491,52,68,1,-16
492,60,60,1,0
493,67,53,1,14
494,85,35,0,50
495,88,32,1,56
496,75,45,1,30
497,47,73,1,-26
498,95,25,1,70
499,64,56,0,8
500,64,56,0,8
501,61,59,0,2
502,87,33,0,54
503,99,21,1,78
504,61,59,1,2
505,63,57,0,6
506,50,70,1,-20
507,62,58,1,4
508,73,47,1,26
509,102,18,1,84
510,72,48,0,24
511,84,36,0,48
512,88,32,1,56
513,74,46,0,28
514,68,52,1,16
515,46,74,0,-28
516,50,70,1,-20
517,84,36,0,48
518,100,20,1,80
519,110,10,1,100
520,44,76,1,-32
521,55,65,1,-10
522,75,45,1,30
523,76,44,0,32
524,90,30,1,60
525,89,31,0,58
526,81,39,1,42
527,36,84,1,-48
528,73,47,0,26
529,57,63,1,-6
530,91,29,0,62
531,90,30,0,60
532,60,60,0,0
533,55,65,0,-10
534,109,11,1,98
535,101,19,1,82
536,68,52,1,16
537,62,58,1,4
538,59,61,1,-2
539,72,48,0,24
540,53,67,0,-14
541,30,90,0,-60
542,82,38,0,44
543,73,47,0,26
544,89,31,0,58
545,92,28,0,64
546,94,26,1,68
547,75,45,0,30
548,69,51,1,18
549,110,10,0,100
550,96,24,1,72
551,84,36,0,48
552,52,68,0,-16
553,84,36,0,48
554,43,77,1,-34
555,65,55,1,10
556,85,35,1,50
557,83,37,1,46
558,85,35,1,50
559,115,5,1,110
560,84,36,0,48
561,51,69,1,-18
562,63,57,1,6
563,91,29,1,62
564,61,59,0,2
565,91,29,0,62
566,56,64,1,-8
567,95,25,1,70
568,85,35,1,50
569,96,24,1,72
570,93,27,0,66
571,81,39,0,42
572,54,66,1,-12
573,43,77,1,-34
574,87,33,0,54
575,67,53,0,14
576,71,49,1,22
577,84,36,0,48
578,53,67,1,-14
579,96,24,0,72
580,70,50,0,20
581,67,53,0,14
582,85,35,0,50
583,86,34,0,52
584,106,14,1,92
585,89,31,1,58
586,105,15,0,90
587,76,44,1,32
588,74,46,1,28
589,75,45,0,30
590,59,61,0,-2
591,63,57,1,6
592,100,20,0,80
593,92,28,0,64
594,46,74,0,-28
595,50,70,1,-20
596,91,29,0,62
597,88,32,1,56
598,79,41,0,38
599,96,24,1,72
600,104,16,0,88
601,90,30,1,60
602,90,30,1,60
603,107,13,1,94
604,66,54,1,12
605,52,68,1,-16
606,80,40,1,40
607,87,33,0,54
608,89,31,0,58
609,107,13,1,94
610,53,67,1,-14
611,102,18,1,84
612,59,61,1,-2
613,48,72,1,-24
614,102,18,0,84
615,93,27,0,66
616,85,35,1,50
617,30,90,1,-60
618,77,43,0,34
619,92,28,0,64
620,80,40,0,40
621,101,19,0,82
622,65,55,0,10
623,63,57,1,6
624,75,45,0,30
625,86,34,0,52
626,72,48,0,24
627,92,28,1,64
628,105,15,1,90
629,100,20,1,80
630,81,39,1,42
631,46,74,1,-28
632,100,20,1,80
633,65,55,1,10
634,55,65,1,-10
635,77,43,1,34
636,91,29,0,62
637,55,65,1,-10
638,79,41,1,38
639,90,30,0,60
640,46,74,1,-28
641,64,56,0,8
642,105,15,1,90
643,76,44,1,32
644,90,30,0,60
645,93,27,1,66
646,75,45,1,30
647,61,59,0,2
648,65,55,1,10
649,82,38,1,44
650,107,13,1,94
651,96,24,1,72
652,69,51,0,18
653,106,14,0,92
654,74,46,0,28
655,89,31,1,58
656,105,15,1,90
657,102,18,1,84
658,51,69,0,-18
659,76,44,1,32
660,71,49,1,22
661,117,3,0,114
662,58,62,0,-4
663,69,51,1,18
664,19,101,0,-82
665,65,55,1,10
666,60,60,1,0
667,76,44,1,32
668,62,58,0,4
669,49,71,1,-22
670,33,87,0,-54
671,84,36,1,48
672,70,50,0,20
673,45,75,1,-30
674,83,37,1,46
675,97,23,1,74
676,62,58,0,4
677,60,60,0,0
678,102,18,1,84
679,49,71,1,-22
680,87,33,1,54
681,88,32,0,56
682,59,61,1,-2
683,79,41,0,38
684,67,53,1,14
685,80,40,1,40
686,67,53,1,14
687,81,39,0,42
688,96,24,1,72
689,76,44,0,32
690,91,29,0,62
691,43,77,1,-34
692,83,37,0,46
693,95,25,0,70
694,94,26,1,68
695,82,38,1,44
696,97,23,1,74
697,93,27,0,66
698,43,77,1,-34
699,36,84,1,-48
700,95,25,0,70
701,64,56,0,8
702,89,31,0,58
703,79,41,0,38
704,86,34,1,52
705,69,51,0,18
706,82,38,0,44
707,90,30,0,60
708,81,39,0,42
709,73,47,0,26
710,79,41,0,38
711,106,14,0,92
712,20,100,1,-80
713,79,41,0,38
714,87,33,0,54
715,86,34,0,52
716,88,32,0,56
717,73,47,0,26
718,110,10,1,100
719,78,42,1,36
720,88,32,1,56
721,68,52,0,16
722,71,49,0,22
723,39,81,1,-42
724,79,41,0,38
725,64,56,0,8
726,76,44,0,32
727,68,52,0,16
728,102,18,1,84
729,82,38,1,44
730,69,51,1,18
731,71,49,0,22
732,63,57,1,6
733,87,33,1,54
734,90,30,1,60
735,58,62,1,-4
736,79,41,1,38
737,96,24,1,72
738,47,73,1,-26
739,72,48,1,24
740,91,29,1,62
741,96,24,1,72
742,61,59,1,2
743,93,27,0,66
744,95,25,1,70
745,90,30,0,60
746,75,45,1,30
747,80,40,0,40
748,92,28,0,64
749,74,46,1,28
750,46,74,1,-28
751,54,66,0,-12
752,91,29,0,62
753,72,48,0,24
754,90,30,0,60
755,71,49,1,22
756,120,0,0,120
757,51,69,1,-18
758,88,32,0,56
759,88,32,1,56
760,88,32,0,56
761,103,17,1,86
762,93,27,1,66
763,110,10,0,100
764,24,96,1,-72
765,89,31,1,58
766,76,44,1,32
767,58,62,1,-4
768,106,14,0,92
769,59,61,1,-2
770,88,32,1,56
771,36,84,1,-48
772,102,18,0,84
773,79,41,0,38
774,112,8,0,104
775,65,55,0,10
776,53,67,1,-14
777,79,41,0,38
778,71,49,0,22
779,81,39,1,42
780,90,30,1,60
781,99,21,0,78
782,75,45,0,30
783,76,44,1,32
784,84,36,0,48
785,80,40,1,40
786,42,78,0,-36
787,94,26,0,68
788,49,71,0,-22
789,91,29,0,62
790,90,30,0,60
791,44,76,0,-32
792,86,34,0,52
793,81,39,1,42
794,71,49,0,22
795,55,65,0,-10
796,56,64,0,-8
797,89,31,1,58
798,105,15,0,90
799,81,39,0,42
800,68,52,1,16
801,101,19,0,82
802,80,40,0,40
803,76,44,1,32
804,49,71,0,-22
805,106,14,0,92
806,103,17,0,86
807,80,40,1,40
808,65,55,1,10
809,91,29,0,62
810,75,45,1,30
811,89,31,0,58
812,95,25,0,70
813,86,34,1,52
814,47,73,0,-26
815,93,27,1,66
816,93,27,1,66
817,43,77,1,-34
818,53,67,1,-14
819,59,61,1,-2
820,103,17,0,86
821,87,33,1,54
822,88,32,1,56
823,79,41,0,38
824,51,69,1,-18
825,26,94,0,-68
826,87,33,0,54
827,82,38,1,44
828,87,33,0,54
829,70,50,0,20
830,95,25,1,70
831,55,65,0,-10
832,71,49,1,22
833,45,75,0,-30
834,89,31,1,58
835,81,39,1,42
836,71,49,0,22
837,67,53,0,14
838,87,33,1,54
839,112,8,1,104
840,55,65,1,-10
841,77,43,1,34
842,89,31,1,58
843,87,33,1,54
844,63,57,0,6
845,77,43,1,34
846,64,56,0,8
847,92,28,0,64
848,90,30,0,60
849,96,24,0,72
850,74,46,0,28
851,43,77,0,-34
852,61,59,1,2
853,82,38,0,44
854,97,23,1,74
855,76,44,0,32
856,92,28,0,64
857,68,52,1,16
858,69,51,1,18
859,48,72,1,-24
860,64,56,0,8
861,84,36,1,48
862,97,23,1,74
863,70,50,0,20
864,58,62,1,-4
865,66,54,0,12
866,97,23,1,74
867,42,78,1,-36
868,63,57,0,6
869,103,17,1,86
870,43,77,0,-34
871,91,29,1,62
872,59,61,1,-2
873,29,91,1,-62
874,54,66,0,-12
875,66,54,0,12
876,83,37,0,46
877,62,58,1,4
878,77,43,0,34
879,44,76,0,-32
880,84,36,0,48
881,81,39,0,42
882,71,49,1,22
883,68,52,0,16
884,99,21,1,78
885,111,9,0,102
886,48,72,1,-24
887,72,48,0,24
888,67,53,0,14
