game_id,agent1_points,agent2_points,first_player,point_differential
310,49,71,0,-22
311,78,42,0,36
312,58,62,0,-4
313,90,30,0,60
314,21,99,0,-78
315,84,36,0,48
316,75,45,0,30
317,62,58,0,4
318,69,51,0,18
319,57,63,0,-6
320,63,57,0,6
321,107,13,0,94
322,54,66,0,-12
323,60,60,0,0
324,78,42,0,36
325,85,35,0,50
326,69,51,0,18
327,64,56,0,8
328,63,57,0,6
329,54,66,0,-12
330,97,23,0,74
331,80,40,0,40
332,85,35,0,50
333,57,63,0,-6
334,85,35,0,50
335,86,34,0,52
336,76,44,0,32
337,61,59,0,2
338,73,47,0,26
339,46,74,0,-28
340,76,44,0,32
341,62,58,0,4
342,79,41,0,38
343,73,47,0,26
344,85,35,0,50
345,100,20,0,80
346,72,48,0,24
347,61,59,0,2
348,109,11,0,98
349,46,74,0,-28
350,84,36,0,48
351,86,34,0,52
352,84,36,0,48
353,67,53,0,14
354,114,6,0,108
355,80,40,0,40
356,79,41,0,38
357,92,28,0,64
358,80,40,0,40
359,83,37,0,46
360,34,86,0,-52
361,47,73,0,-26
362,54,66,0,-12
363,52,68,0,-16
364,22,98,0,-76
365,74,46,0,28
366,85,35,0,50
367,69,51,0,18
368,49,71,0,-22
369,71,49,0,22
370,70,50,0,20
371,63,57,0,6
372,43,77,0,-34
373,94,26,0,68
374,45,75,0,-30
375,85,35,0,50
376,82,38,0,44
377,77,43,0,34
378,106,14,0,92
379,48,72,0,-24
380,34,86,0,-52
381,83,37,0,46
382,69,51,0,18
383,84,36,0,48
384,69,51,0,18
385,82,38,0,44
386,57,63,0,-6
387,93,27,0,66
388,52,68,0,-16
389,96,24,0,72
390,56,64,0,-8
391,80,40,0,40
392,110,10,0,100
393,67,53,0,14
394,82,38,0,44
395,65,55,0,10
396,71,49,0,22
397,117,3,0,114
398,83,37,0,46
399,72,48,0,24
400,81,39,0,42
401,35,85,0,-50
402,82,38,0,44
403,77,43,0,34
404,63,57,0,6
405,77,43,0,34
406,84,36,0,48
407,105,15,0,90
408,112,8,0,104
409,81,39,0,42
410,73,47,0,26
411,61,59,0,2
412,79,41,0,38
413,92,28,0,64
414,83,37,0,46
415,48,72,0,-24
416,92,28,0,64
417,50,70,0,-20
418,93,27,0,66
419,87,33,0,54
420,63,57,0,6
421,90,30,0,60
422,66,54,0,12
423,71,49,0,22
424,89,31,0,58
425,33,87,0,-54
426,65,55,0,10
427,91,29,0,62
428,60,60,0,0
429,57,63,0,-6
430,58,62,0,-4
431,93,27,0,66
432,89,31,0,58
433,67,53,0,14
434,94,26,0,68
435,80,40,0,40
436,26,94,0,-68
437,61,59,0,2
438,94,26,0,68
439,54,66,0,-12
440,45,75,0,-30
441,60,60,0,0
442,57,63,0,-6
443,87,33,0,54
444,74,46,0,28
445,74,46,0,28
446,90,30,0,60
447,58,62,0,-4
448,89,31,0,58
449,79,41,0,38
450,16,104,0,-88
451,48,72,0,-24
452,87,33,0,54
453,56,64,0,-8
454,90,30,0,60
455,87,33,0,54
456,64,56,0,8
457,78,42,0,36
458,86,34,0,52
459,63,57,0,6
460,69,51,0,18
461,99,21,0,78
462,37,83,0,-46
463,104,16,0,88
464,95,25,0,70
465,62,58,0,4
466,84,36,0,48
467,95,25,0,70
468,68,52,0,16
469,62,58,0,4
470,75,45,0,30
471,78,42,0,36
472,85,35,0,50
473,77,43,0,34
474,91,29,0,62
475,58,62,0,-4
476,50,70,0,-20
477,101,19,0,82
478,92,28,0,64
479,50,70,0,-20
480,101,19,0,82
481,96,24,0,72
482,65,55,0,10
483,101,19,0,82
484,113,7,0,106
485,80,40,0,40
486,46,74,0,-28
487,47,73,0,-26
488,59,61,0,-2
489,57,63,0,-6
490,62,58,0,4
491,79,41,0,38
492,60,60,0,0
493,60,60,0,0
494,95,25,0,70
495,65,55,0,10
496,106,14,0,92
497,74,46,0,28
498,73,47,0,26
499,97,23,0,74
500,74,46,0,28
501,54,66,0,-12
502,91,29,0,62
503,77,43,0,34
504,72,48,0,24
505,88,32,0,56
506,67,53,0,14
507,63,57,0,6
508,111,9,0,102
509,99,21,0,78
510,71,49,0,22
511,96,24,0,72
512,101,19,0,82
513,102,18,0,84
514,87,33,0,54
515,55,65,0,-10
516,57,63,0,-6
517,48,72,0,-24
518,28,92,0,-64
519,89,31,0,58
520,72,48,0,24
521,105,15,0,90
522,87,33,0,54
523,97,23,0,74
524,73,47,0,26
525,52,68,0,-16
526,57,63,0,-6
527,61,59,0,2
528,47,73,0,-26
529,59,61,0,-2
530,83,37,0,46
531,53,67,0,-14
532,54,66,0,-12
533,89,31,0,58
534,91,29,0,62
535,51,69,0,-18
536,102,18,0,84
537,84,36,0,48
538,87,33,0,54
539,93,27,0,66
540,54,66,0,-12
541,41,79,0,-38
542,83,37,0,46
543,47,73,0,-26
544,73,47,0,26
545,101,19,0,82
546,63,57,0,6
547,89,31,0,58
548,83,37,0,46
549,77,43,0,34
550,69,51,0,18
551,58,62,0,-4
552,62,58,0,4
553,96,24,0,72
554,94,26,0,68
555,51,69,0,-18
556,52,68,0,-16
557,82,38,0,44
558,76,44,0,32
559,66,54,0,12
560,56,64,0,-8
561,58,62,0,-4
562,95,25,0,70
563,74,46,0,28
564,63,57,0,6
565,69,51,0,18
566,55,65,0,-10
567,63,57,0,6
568,75,45,0,30
569,93,27,0,66
570,79,41,0,38
571,108,12,0,96
572,31,89,0,-58
573,95,25,0,70
574,82,38,0,44
575,46,74,0,-28
576,75,45,0,30
577,69,51,0,18
578,59,61,0,-2
579,69,51,0,18
580,69,51,0,18
581,72,48,0,24
582,31,89,0,-58
583,87,33,0,54
584,77,43,0,34
585,42,78,0,-36
586,79,41,0,38
587,65,55,0,10
588,76,44,0,32
589,91,29,0,62
590,75,45,0,30
591,51,69,0,-18
592,78,42,0,36
593,75,45,0,30
594,94,26,0,68
595,80,40,0,40
596,38,82,0,-44
597,98,22,0,76
598,59,61,0,-2
599,78,42,0,36
600,82,38,0,44
601,93,27,0,66
602,44,76,0,-32
603,77,43,0,34
604,78,42,0,36
605,30,90,0,-60
606,69,51,0,18
607,59,61,0,-2
608,101,19,0,82
609,66,54,0,12
610,80,40,0,40
611,61,59,0,2
612,87,33,0,54
613,56,64,0,-8
614,72,48,0,24
615,34,86,0,-52
616,79,41,0,38
617,64,56,0,8
618,63,57,0,6
619,66,54,0,12
620,92,28,0,64
621,93,27,0,66
622,86,34,0,52
623,100,20,0,80
624,69,51,0,18
625,59,61,0,-2
626,59,61,0,-2
627,67,53,0,14
628,67,53,0,14
629,79,41,0,38
630,75,45,0,30
631,58,62,0,-4
632,50,70,0,-20
633,75,45,0,30
634,76,44,0,32
635,83,37,0,46
636,84,36,0,48
637,65,55,0,10
638,81,39,0,42
639,79,41,0,38
640,90,30,0,60
641,107,13,0,94
642,56,64,0,-8
643,25,95,0,-70
644,68,52,0,16
645,65,55,0,10
646,58,62,0,-4
647,78,42,0,36
648,98,22,0,76
649,46,74,0,-28
650,113,7,0,106
651,61,59,0,2
652,37,83,0,-46
653,78,42,0,36
654,82,38,0,44
655,78,42,0,36
656,65,55,0,10
657,61,59,0,2
658,56,64,0,-8
659,70,50,0,20
660,41,79,0,-38
661,105,15,0,90
662,72,48,0,24
663,54,66,0,-12
664,71,49,0,22
665,80,40,0,40
666,72,48,0,24
667,58,62,0,-4
668,64,56,0,8
669,81,39,0,42
670,114,6,0,108
671,50,70,0,-20
672,26,94,0,-68
673,79,41,0,38
674,79,41,0,38
675,85,35,0,50
676,73,47,0,26
677,76,44,0,32
678,69,51,0,18
679,55,65,0,-10
680,71,49,0,22
681,57,63,0,-6
682,50,70,0,-20
683,70,50,0,20
684,75,45,0,30
685,77,43,0,34
686,64,56,0,8
687,75,45,0,30
688,94,26,0,68
689,71,49,0,22
690,62,58,0,4
691,54,66,0,-12
692,53,67,0,-14
693,86,34,0,52
694,65,55,0,10
695,80,40,0,40
696,102,18,0,84
697,85,35,0,50
698,76,44,0,32
699,89,31,0,58
700,46,74,0,-28
701,95,25,0,70
702,65,55,0,10
703,101,19,0,82
704,56,64,0,-8
705,80,40,0,40
706,73,47,0,26
707,52,68,0,-16
708,54,66,0,-12
709,91,29,0,62
710,113,7,0,106
711,69,51,0,18
712,64,56,0,8
713,56,64,0,-8
714,101,19,0,82
715,61,59,0,2
716,74,46,0,28
717,43,77,0,-34
718,62,58,0,4
719,107,13,0,94
720,58,62,0,-4
721,80,40,0,40
722,48,72,0,-24
723,63,57,0,6
724,56,64,0,-8
725,88,32,0,56
726,94,26,0,68
727,88,32,0,56
728,30,90,0,-60
729,96,24,0,72
730,90,30,0,60
731,44,76,0,-32
732,75,45,0,30
733,53,67,0,-14
734,77,43,0,34
735,71,49,0,22
736,88,32,0,56
737,54,66,0,-12
738,85,35,0,50
739,85,35,0,50
740,86,34,0,52
741,84,36,0,48
742,67,53,0,14
743,62,58,0,4
744,61,59,0,2
745,96,24,0,72
746,71,49,0,22
747,91,29,0,62
748,56,64,0,-8
749,58,62,0,-4
750,88,32,0,56
751,49,71,0,-22
752,116,4,0,112
753,77,43,0,34
754,83,37,0,46
755,55,65,0,-10
756,97,23,0,74
757,77,43,0,34
758,50,70,0,-20
759,90,30,0,60
760,104,16,0,88
761,63,57,0,6
762,78,42,0,36
763,42,78,0,-36
764,87,33,0,54
765,54,66,0,-12
766,62,58,0,4
767,77,43,0,34
768,81,39,0,42
769,83,37,0,46
770,107,13,0,94
771,71,49,0,22
772,85,35,0,50
773,81,39,0,42
774,62,58,0,4
775,43,77,0,-34
776,66,54,0,12
777,59,61,0,-2
778,53,67,0,-14
779,105,15,0,90
780,62,58,0,4
781,55,65,0,-10
782,15,105,0,-90
783,86,34,0,52
784,66,54,0,12
785,110,10,0,100
786,70,50,0,20
787,99,21,0,78
788,57,63,0,-6
789,69,51,0,18
790,98,22,0,76
791,53,67,0,-14
792,100,20,0,80
793,66,54,0,12
794,66,54,0,12
795,68,52,0,16
796,49,71,0,-22
797,93,27,0,66
798,51,69,0,-18
799,56,64,0,-8
800,80,40,0,40
801,83,37,0,46
802,79,41,0,38
803,116,4,0,112
804,62,58,0,4
805,55,65,0,-10
806,81,39,0,42
807,60,60,0,0
808,75,45,0,30
809,84,36,0,48
810,103,17,0,86
811,62,58,0,4
812,50,70,0,-20
813,53,67,0,-14
814,47,73,0,-26
815,53,67,0,-14
816,80,40,0,40
817,70,50,0,20
818,78,42,0,36
819,100,20,0,80
820,83,37,0,46
821,74,46,0,28
822,68,52,0,16
823,81,39,0,42
824,56,64,0,-8
825,77,43,0,34
826,107,13,0,94
827,51,69,0,-18
828,73,47,0,26
829,71,49,0,22
830,70,50,0,20
831,71,49,0,22
832,72,48,0,24
833,91,29,0,62
834,87,33,0,54
835,67,53,0,14
836,39,81,0,-42
837,91,29,0,62
838,53,67,0,-14
839,80,40,0,40
840,56,64,0,-8
841,96,24,0,72
842,89,31,0,58
843,98,22,0,76
844,69,51,0,18
845,89,31,0,58
846,87,33,0,54
847,72,48,0,24
848,86,34,0,52
849,90,30,0,60
850,25,95,0,-70
851,103,17,0,86
852,53,67,0,-14
853,65,55,0,10
854,79,41,0,38
855,104,16,0,88
856,64,56,0,8
857,79,41,0,38
858,33,87,0,-54
859,78,42,0,36
860,59,61,0,-2
861,80,40,0,40
862,90,30,0,60
863,26,94,0,-68
864,107,13,0,94
865,47,73,0,-26
866,95,25,0,70
867,102,18,0,84
868,114,6,0,108
869,63,57,0,6
870,94,26,0,68
871,112,8,0,104
872,52,68,0,-16
873,70,50,0,20
874,51,69,0,-18
875,56,64,0,-8
876,78,42,0,36
877,70,50,0,20
878,23,97,0,-74
879,65,55,0,10
880,111,9,0,102
881,54,66,0,-12
882,55,65,0,-10
883,46,74,0,-28
884,55,65,0,-10
885,59,61,0,-2
886,65,55,0,10
887,62,58,0,4
888,74,46,0,28
889,57,63,0,-6
890,67,53,0,14
891,48,72,0,-24
892,66,54,0,12
893,69,51,0,18
894,54,66,0,-12
895,80,40,0,40
896,63,57,0,6
897,112,8,0,104
898,91,29,0,62
899,62,58,0,4
900,72,48,0,24
901,80,40,0,40
902,57,63,0,-6
903,65,55,0,10
904,62,58,0,4
905,46,74,0,-28
906,82,38,0,44
907,62,58,0,4
908,71,49,0,22
909,40,80,0,-40
910,54,66,0,-12
911,81,39,0,42
912,84,36,0,48
913,57,63,0,-6
914,108,12,0,96
915,52,68,0,-16
916,75,45,0,30
917,78,42,0,36
918,59,61,0,-2
919,91,29,0,62
920,38,82,0,-44
921,90,30,0,60
922,54,66,0,-12
923,82,38,0,44
924,60,60,0,0
925,68,52,0,16
926,78,42,0,36
927,78,42,0,36
928,84,36,0,48
929,79,41,0,38
930,80,40,0,40
931,59,61,0,-2
932,95,25,0,70
933,90,30,0,60
934,81,39,0,42
935,63,57,0,6
936,73,47,0,26
937,59,61,0,-2
938,75,45,0,30
939,88,32,0,56
940,51,69,0,-18
941,75,45,0,30
942,53,67,0,-14
943,92,28,0,64
944,45,75,0,-30
945,102,18,0,84
946,64,56,0,8
947,89,31,0,58
948,101,19,0,82
949,108,12,0,96
950,53,67,0,-14
951,94,26,0,68
952,48,72,0,-24
953,60,60,0,0
954,113,7,0,106
955,53,67,0,-14
956,106,14,0,92
957,66,54,0,12
958,105,15,0,90
959,68,52,0,16
960,47,73,0,-26
961,77,43,0,34
962,66,54,0,12
963,61,59,0,2
964,61,59,0,2
965,80,40,0,40
966,97,23,0,74
967,90,30,0,60
968,78,42,0,36
969,57,63,0,-6
970,64,56,0,8
971,56,64,0,-8
972,61,59,0,2
973,90,30,0,60
974,99,21,0,78
975,90,30,0,60
976,91,29,0,62
977,37,83,0,-46
978,111,9,0,102
979,61,59,0,2
980,79,41,0,38
981,57,63,0,-6
982,91,29,0,62
983,38,82,0,-44
984,68,52,0,16
985,55,65,0,-10
986,55,65,0,-10
987,72,48,0,24
988,64,56,0,8
989,110,10,0,100
990,67,53,0,14
991,69,51,0,18
992,89,31,0,58
993,79,41,0,38
994,66,54,0,12
995,84,36,0,48
996,60,60,0,0
997,63,57,0,6
998,98,22,0,76
999,85,35,0,50
1000,60,60,0,0
1001,85,35,0,50
1002,96,24,0,72
1003,69,51,0,18
1004,84,36,0,48
1005,54,66,0,-12
1006,104,16,0,88
1007,106,14,0,92
1008,64,56,0,8
1009,64,56,0,8
1010,59,61,0,-2
1011,83,37,0,46
1012,61,59,0,2
1013,87,33,0,54
1014,110,10,0,100
1015,88,32,0,56
1016,69,51,0,18
1017,80,40,0,40
1018,61,59,0,2
1019,41,79,0,-38
1020,69,51,0,18
1021,71,49,0,22
1022,99,21,0,78
1023,66,54,0,12
1024,77,43,0,34
1025,62,58,0,4
1026,87,33,0,54
1027,35,85,0,-50
1028,67,53,0,14
1029,98,22,0,76
1030,68,52,0,16
1031,58,62,0,-4
1032,61,59,0,2
1033,49,71,0,-22
1034,75,45,0,30
1035,97,23,0,74
1036,91,29,0,62
1037,58,62,0,-4
1038,50,70,0,-20
1039,81,39,0,42
1040,49,71,0,-22
1041,51,69,0,-18
1042,87,33,0,54
1043,87,33,0,54
1044,69,51,0,18
1045,71,49,0,22
1046,45,75,0,-30
1047,63,57,0,6
1048,60,60,0,0
1049,69,51,0,18
1050,70,50,0,20
1051,93,27,0,66
1052,59,61,0,-2
1053,66,54,0,12
1054,52,68,0,-16
1055,67,53,0,14
1056,84,36,0,48
1057,66,54,0,12
1058,89,31,0,58
1059,87,33,0,54
1060,43,77,0,-34
1061,87,33,0,54
1062,85,35,0,50
1063,54,66,0,-12
1064,90,30,0,60
1065,69,51,0,18
1066,39,81,0,-42
1067,63,57,0,6
1068,101,19,0,82
1069,67,53,0,14
1070,56,64,0,-8
1071,60,60,0,0
1072,63,57,0,6
1073,103,17,0,86
1074,92,28,0,64
1075,61,59,0,2
1076,42,78,0,-36
1077,67,53,0,14
1078,98,22,0,76
1079,73,47,0,26
1080,37,83,0,-46
1081,96,24,0,72
1082,87,33,0,54
1083,100,20,0,80
1084,76,44,0,32
1085,104,16,0,88
1086,115,5,0,110
1087,68,52,0,16
1088,111,9,0,102
1089,58,62,0,-4
1090,71,49,0,22
1091,57,63,0,-6
1092,66,54,0,12
1093,64,56,0,8
1094,69,51,0,18
1095,52,68,0,-16
1096,97,23,0,74
1097,82,38,0,44
1098,76,44,0,32
1099,41,79,0,-38
1100,85,35,0,50
1101,59,61,0,-2
1102,89,31,0,58
1103,56,64,0,-8
1104,78,42,0,36
1105,64,56,0,8
1106,86,34,0,52
1107,48,72,0,-24
1108,64,56,0,8
1109,82,38,0,44
1110,77,43,0,34
1111,47,73,0,-26
1112,90,30,0,60
1113,69,51,0,18
1114,91,29,0,62
1115,75,45,0,30
1116,89,31,0,58
1117,67,53,0,14
1118,53,67,0,-14
1119,72,48,0,24
1120,58,62,0,-4
1121,46,74,0,-28
1122,56,64,0,-8
1123,83,37,0,46
1124,54,66,0,-12
1125,64,56,0,8
1126,52,68,0,-16
1127,64,56,0,8
1128,107,13,0,94
1129,79,41,0,38
1130,73,47,0,26
1131,74,46,0,28
1132,74,46,0,28
1133,97,23,0,74
1134,70,50,0,20
1135,72,48,0,24
1136,51,69,0,-18
1137,63,57,0,6
1138,58,62,0,-4
1139,44,76,0,-32
1140,65,55,0,10
1141,59,61,0,-2
1142,100,20,0,80
1143,83,37,0,46
1144,91,29,0,62
1145,46,74,0,-28
1146,63,57,0,6
1147,39,81,0,-42
1148,84,36,0,48
1149,67,53,0,14
1150,43,77,0,-34
1151,80,40,0,40
1152,92,28,0,64
1153,42,78,0,-36
1154,84,36,0,48
1155,78,42,0,36
1156,69,51,0,18
1157,45,75,0,-30
1158,70,50,0,20
1159,70,50,0,20
1160,81,39,0,42
1161,107,13,0,94
1162,62,58,0,4
1163,103,17,0,86
1164,63,57,0,6
1165,96,24,0,72
1166,51,69,0,-18
1167,40,80,0,-40
1168,72,48,0,24
1169,88,32,0,56
1170,94,26,0,68
1171,37,83,0,-46
1172,62,58,0,4
1173,96,24,0,72
1174,67,53,0,14
1175,60,60,0,0
1176,79,41,0,38
1177,67,53,0,14
1178,81,39,0,42
1179,61,59,0,2
1180,96,24,0,72
1181,49,71,0,-22
1182,40,80,0,-40
1183,114,6,0,108
1184,56,64,0,-8
1185,108,12,0,96
1186,86,34,0,52
1187,66,54,0,12
1188,80,40,0,40
1189,76,44,0,32
1190,75,45,0,30
1191,40,80,0,-40
1192,93,27,0,66
1193,30,90,0,-60
1194,87,33,0,54
1195,53,67,0,-14
